 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean116,Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132,Mean133,Mean134,Mean135,Mean136,Mean137,Mean138,Mean139,Mean140,Mean141,Mean142,Mean143,Mean144,Mean145,Mean146,Mean147,Mean148,Mean149,Mean150,Mean151,Mean152,Mean153,Mean154,Mean155,Mean156,Mean157,Mean158,Mean159,Mean160,Mean161,Mean162,Mean163,Mean164,Mean165,Mean166,Mean167,Mean168,Mean169,Mean170,Mean171,Mean172,Mean173,Mean174,Mean175,Mean176,Mean177,Mean178,Mean179,Mean180,Mean181,Mean182,Mean183,Mean184,Mean185,Mean186,Mean187,Mean188,Mean189,Mean190,Mean191,Mean192,Mean193,Mean194,Mean195,Mean196,Mean197,Mean198,Mean199,Mean200,Mean201,Mean202,Mean203,Mean204,Mean205,Mean206,Mean207,Mean208,Mean209,Mean210,Mean211,Mean212,Mean213,Mean214,Mean215,Mean216,Mean217,Mean218,Mean219,Mean220,Mean221,Mean222,Mean223,Mean224,Mean225,Mean226,Mean227,Mean228,Mean229,Mean230,Mean231,Mean232,Mean233,Mean234,Mean235,Mean236,Mean237,Mean238,Mean239,Mean240,Mean241,Mean242,Mean243,Mean244,Mean245,Mean246,Mean247,Mean248,Mean249,Mean250,Mean251,Mean252,Mean253,Mean254,Mean255,Mean256,Mean257,Mean258,Mean259,Mean260,Mean261,Mean262,Mean263,Mean264,Mean265,Mean266,Mean267,Mean268,Mean269,Mean270,Mean271,Mean272,Mean273,Mean274,Mean275,Mean276,Mean277,Mean278,Mean279,Mean280,Mean281,Mean282,Mean283,Mean284,Mean285,Mean286,Mean287,Mean288,Mean289,Mean290,Mean291,Mean292,Mean293,Mean294,Mean295,Mean296,Mean297,Mean298,Mean299
1,60.019,51.577,50.211,40.439,36.266,48.500,50.777,58.460,35.228,51.851,33.712,57.212,61.191,34.435,47.031,51.662,39.765,48.085,44.068,35.800,52.201,43.352,77.993,62.375,51.299,41.479,34.328,38.517,42.540,50.157,42.391,54.772,45.361,37.793,55.688,46.404,40.399,47.183,54.032,42.821,54.694,53.060,49.805,47.006,68.613,65.668,95.354,46.807,43.363,71.865,54.080,52.825,71.268,65.941,44.729,60.114,54.069,48.118,62.774,38.699,64.940,57.251,58.404,46.502,71.972,57.669,42.092,69.572,60.432,61.063,55.613,43.098,37.525,80.024,78.526,60.694,54.510,65.396,47.364,38.200,55.513,78.961,40.309,73.887,74.644,87.638,48.163,87.314,45.016,75.553,66.386,91.764,68.450,44.230,57.968,61.292,74.246,49.678,62.546,50.068,92.267,47.828,54.218,45.908,84.128,42.488,69.303,56.807,65.342,70.460,80.389,85.538,54.768,57.487,40.365,50.015,51.092,62.984,51.515,38.607,76.126,65.065,70.772,56.847,55.685,71.401,65.348,41.784,92.908,65.382,43.405,43.246,70.829,48.924,44.248,49.165,48.343,72.446,56.696,72.076,81.996,43.295,42.363,42.623,36.845,47.990,36.869,64.004,49.940,51.328,40.632,65.939,72.603,48.249,51.168,94.034,68.045,61.207,76.035,87.931,43.567,37.438,68.089,53.810,37.166,54.569,99.435,66.683,40.881,49.672,54.619,66.625,50.163,66.358,41.533,62.667,53.904,48.688,74.419,45.976,46.001,50.466,54.048,50.204,51.861,49.275,46.825,53.625,56.078,80.722,41.655,58.877,40.214,45.141,43.621,42.495,40.151,36.722,40.924,45.902,83.150,62.740,59.190,73.683,69.112,49.415,47.500,72.524,42.975,35.835,131.613,67.831,63.433,79.625,34.404,68.085,98.623,37.339,51.829,60.180,37.759,64.456,44.408,36.320,35.946,38.221,64.455,75.693,49.458,36.554,39.240,60.311,108.876,69.858,52.884,48.711,43.834,43.062,51.417,60.225,44.001,43.608,41.939,50.151,65.985,52.465,41.441,49.876,40.929,38.590,45.739,44.719,87.536,72.868,74.484,72.785,50.584,72.675,40.119,54.744,38.206,76.163,87.461,40.842,55.265,60.558,57.196,57.105,47.974,39.655,41.740,39.572,56.467,42.277,42.740,54.873,53.156,43.200,42.715,60.565,41.397,73.053,53.447,41.058,54.056,43.955,69.069,44.192,55.059,47.476,44.028,37.006,38.582,55.964,48.991,56.444,48.318,37.836,40.330
2,60.743,51.663,50.249,40.523,36.553,48.373,50.940,58.510,35.338,51.953,33.828,57.413,61.396,34.785,47.197,51.638,39.762,48.207,44.351,35.859,52.341,43.544,78.018,61.986,51.317,41.823,34.394,38.541,42.768,50.773,41.955,55.178,45.414,37.948,55.249,45.480,40.084,47.885,52.452,42.615,55.250,51.949,50.595,46.966,68.833,65.918,98.455,44.920,43.379,73.228,54.115,52.748,72.035,66.020,44.685,60.471,54.200,51.246,64.316,38.667,64.949,57.671,59.947,46.588,73.049,57.821,42.440,70.551,59.929,60.458,55.080,43.353,37.675,80.645,78.116,60.258,54.238,65.298,47.387,38.031,55.644,77.509,40.196,73.276,74.636,87.845,48.780,88.344,44.846,76.088,65.944,93.718,67.988,44.083,57.729,61.024,74.159,49.774,62.279,49.802,93.658,47.890,54.369,45.951,84.560,43.432,72.494,56.696,66.146,70.547,80.803,86.349,54.818,56.973,41.358,51.180,50.573,63.163,51.381,38.469,76.319,66.522,71.037,57.638,56.216,71.821,65.322,42.347,94.235,65.451,44.124,43.236,74.067,49.871,44.575,49.094,48.122,73.936,56.770,72.477,83.287,43.781,42.421,43.010,36.926,48.732,37.530,64.689,53.735,52.112,40.627,66.518,72.729,48.218,51.139,95.378,67.933,66.926,76.965,88.230,43.492,37.700,67.103,54.278,37.436,54.813,99.482,67.023,41.108,50.126,54.662,67.388,50.178,73.051,41.500,65.001,54.377,48.783,75.165,45.752,45.802,50.437,54.697,50.562,51.920,49.541,46.867,54.167,55.070,80.503,42.266,58.901,40.948,45.004,43.613,42.590,41.376,37.179,40.948,45.952,83.624,63.595,59.249,74.876,69.206,49.362,47.570,72.445,43.031,35.879,134.651,68.798,63.647,80.485,34.336,67.978,102.802,37.460,51.818,60.950,37.743,64.614,42.947,36.408,35.966,38.186,64.295,76.162,49.431,36.951,39.631,59.285,109.537,69.792,53.437,48.805,43.771,43.198,51.670,60.927,44.109,43.436,41.168,49.353,65.882,52.625,41.657,50.198,41.374,38.582,45.680,44.841,90.240,73.843,75.191,73.935,50.291,72.607,40.177,54.690,38.080,76.528,87.811,41.150,55.329,59.815,57.977,56.963,47.901,39.749,41.763,39.540,56.518,42.154,42.927,54.803,53.479,42.977,42.561,61.214,41.304,71.399,53.695,41.000,54.475,44.048,68.693,44.118,55.161,47.568,43.875,37.434,38.721,56.134,48.755,56.476,48.397,37.995,40.478
3,60.765,51.787,50.396,40.661,36.924,48.390,50.976,58.618,35.698,51.876,33.782,57.895,61.640,34.691,47.351,51.660,39.944,48.431,44.364,36.084,52.439,43.830,78.235,61.853,51.072,41.137,34.471,38.817,42.737,50.666,41.083,55.869,45.317,38.483,55.273,44.560,39.342,47.352,51.858,42.512,55.344,51.542,50.607,47.004,68.805,66.359,101.809,43.571,43.411,73.492,53.648,52.616,71.787,66.457,45.015,61.637,54.585,50.817,65.745,38.761,64.801,57.597,58.367,46.594,73.270,57.826,41.719,71.585,59.807,59.513,54.887,43.045,37.789,81.312,81.612,60.063,53.717,65.263,47.492,38.119,55.435,77.342,40.558,73.918,75.158,87.965,48.140,89.838,44.848,76.919,65.758,93.776,68.132,44.968,57.368,61.500,74.023,49.888,62.184,49.541,94.623,47.964,54.343,46.041,85.354,44.071,73.529,56.734,66.881,70.637,81.031,86.980,54.854,56.635,41.945,51.842,50.566,63.586,51.679,38.528,76.147,67.383,71.996,58.649,56.026,71.542,65.583,42.401,95.083,65.662,45.228,43.654,75.350,49.841,44.908,47.331,48.392,75.471,57.340,73.045,84.302,44.230,42.837,43.781,37.157,48.707,38.667,64.635,52.763,52.511,41.040,66.333,73.366,48.086,51.119,96.086,68.228,67.537,77.324,88.300,43.458,37.799,66.420,54.102,37.536,55.321,99.560,67.405,41.288,50.526,55.496,68.117,50.005,81.130,41.648,66.804,54.712,48.864,75.503,45.549,46.097,50.625,55.100,50.347,52.432,49.929,46.792,54.105,54.670,80.646,42.447,59.036,41.291,44.943,43.651,42.446,42.050,37.280,41.097,46.654,84.403,64.115,59.899,75.803,69.695,49.455,47.919,72.586,43.451,36.263,138.000,68.723,63.843,81.678,34.610,68.641,104.801,37.325,51.945,60.421,37.707,65.281,42.478,36.231,36.203,38.140,64.564,77.162,49.174,36.995,40.100,58.613,109.733,69.831,53.141,48.891,44.048,43.402,52.293,61.403,44.226,43.407,40.957,49.748,65.415,52.952,41.625,50.281,41.508,38.687,45.766,45.217,91.157,74.441,75.416,74.986,50.315,72.366,40.140,54.674,37.815,77.561,87.857,41.398,55.680,59.201,58.975,57.137,47.959,39.907,41.795,39.701,56.941,42.279,42.984,55.323,54.362,42.917,42.452,61.786,41.452,70.076,53.898,40.922,54.278,44.253,69.147,43.987,55.259,47.569,43.933,37.498,38.819,56.048,49.222,56.547,48.477,38.065,40.400
4,60.762,51.893,50.298,40.794,38.667,48.478,51.029,58.498,35.714,51.804,33.756,58.138,61.883,34.541,47.450,51.940,40.262,48.671,44.399,36.220,52.610,43.852,78.031,61.599,51.168,40.983,34.572,39.161,43.030,50.842,41.244,56.188,45.341,38.675,55.115,44.123,39.344,46.828,50.996,42.639,55.052,52.537,50.598,47.025,68.329,66.819,102.264,41.885,43.402,72.917,53.554,52.919,71.664,66.364,45.247,62.210,54.781,49.754,66.378,38.843,64.800,57.290,56.173,46.735,73.919,57.973,40.949,72.147,59.681,58.542,54.743,43.085,37.861,82.340,79.266,60.004,53.998,65.713,47.220,38.110,55.572,76.818,40.262,74.868,75.485,87.740,48.167,90.202,45.291,78.159,65.648,94.398,67.569,44.910,57.389,61.602,73.815,50.155,61.941,49.564,94.753,48.124,54.137,46.071,85.588,43.746,72.770,56.928,67.050,70.475,81.124,87.201,55.114,57.489,42.349,52.811,50.379,63.909,51.471,38.886,78.318,68.033,73.234,58.474,56.109,71.401,66.281,42.437,95.599,65.773,46.361,43.438,76.763,49.827,45.379,45.877,48.193,76.047,57.252,73.395,84.694,44.239,43.008,43.628,36.951,49.086,38.602,64.372,51.952,52.431,41.000,66.535,73.500,48.092,51.308,97.039,68.357,67.699,78.207,88.745,43.420,37.993,65.702,54.139,37.777,55.827,99.590,67.809,41.159,50.628,55.279,68.493,58.110,78.325,42.032,66.804,54.931,49.145,75.513,45.685,45.765,50.388,55.235,50.239,52.397,50.311,46.753,54.145,54.485,80.346,42.760,59.044,41.972,44.755,43.548,42.315,42.225,37.430,40.982,46.698,84.545,64.699,59.483,75.878,69.946,49.544,47.337,72.549,43.308,36.352,140.200,68.733,64.203,83.077,34.473,69.345,105.409,37.119,51.713,59.784,37.853,65.636,42.108,36.639,36.056,38.281,65.099,77.440,49.160,37.004,39.913,57.979,110.127,69.686,53.154,48.940,43.792,43.524,52.497,61.351,44.283,43.606,41.663,49.455,65.515,53.435,41.559,50.197,41.568,38.699,45.678,44.983,91.110,74.933,74.591,75.614,50.267,72.516,40.089,54.730,37.612,78.223,87.842,41.576,55.774,58.829,59.568,56.834,47.891,40.000,41.822,39.591,56.852,42.254,43.201,55.552,54.304,42.845,42.385,62.766,41.740,68.667,53.714,41.144,54.208,44.360,69.166,44.207,55.122,47.499,43.955,37.635,38.839,56.146,49.370,56.599,48.706,37.925,40.396
5,60.986,51.742,50.262,40.958,38.848,48.294,51.119,58.464,36.282,51.666,33.914,58.442,62.082,34.393,47.382,51.857,40.228,48.853,44.555,36.685,53.040,43.886,78.213,62.028,51.019,40.520,34.681,39.539,42.801,50.924,40.583,56.285,45.417,38.544,55.004,43.335,39.216,46.671,49.654,42.373,55.471,52.039,50.560,47.051,68.326,67.128,102.350,40.599,43.542,72.873,53.594,52.718,71.734,66.208,45.378,62.512,55.079,47.949,67.923,38.682,64.946,57.399,53.787,46.922,74.453,58.338,40.272,72.068,59.729,57.863,54.490,43.220,37.935,83.489,77.286,59.619,54.459,65.801,47.040,38.252,55.734,76.520,40.326,75.230,76.180,87.556,47.838,91.490,45.410,79.720,65.743,94.902,67.941,44.846,57.113,61.631,74.225,50.317,61.939,49.621,94.719,48.320,54.191,45.864,85.904,43.229,72.501,57.049,66.790,70.821,81.443,87.624,55.507,56.736,42.598,53.800,49.852,64.447,50.909,38.956,80.737,68.359,74.070,58.334,55.450,71.484,66.118,42.304,96.894,65.811,46.162,43.378,77.440,49.757,45.708,44.862,48.158,76.689,57.513,73.388,86.172,44.253,43.376,44.019,36.857,49.967,38.379,64.139,50.932,52.522,40.975,66.429,73.989,48.180,51.114,97.406,68.339,66.079,78.198,89.041,43.630,38.052,65.301,54.580,37.639,56.100,99.191,68.634,41.655,50.371,55.366,68.685,61.515,75.364,41.670,67.006,55.210,49.475,75.628,45.613,45.799,50.690,55.854,50.667,52.959,50.360,46.768,54.216,54.167,80.193,42.865,59.249,42.416,44.927,43.574,42.360,42.577,37.346,40.796,45.973,84.946,64.904,58.825,75.745,70.199,49.614,47.320,72.538,43.492,36.331,140.356,69.006,64.114,83.903,34.592,69.623,104.757,37.172,51.589,59.293,37.838,66.012,41.866,36.789,36.657,38.515,65.391,77.198,49.059,36.816,40.160,58.292,110.383,69.718,53.289,49.013,43.725,43.663,52.974,61.513,44.570,43.436,41.490,49.212,65.168,53.421,41.659,50.560,41.615,38.867,45.662,45.323,90.360,75.276,73.743,76.787,50.026,72.654,40.010,54.994,37.656,79.221,87.671,41.735,55.745,58.338,59.853,56.715,48.135,40.129,41.866,39.641,56.857,42.357,43.026,55.095,54.171,42.911,42.530,63.285,41.435,67.673,53.759,41.062,53.936,44.357,69.343,44.284,55.106,47.426,43.833,37.440,38.952,56.027,49.152,56.463,48.746,37.965,40.430
6,60.770,51.706,49.928,41.005,39.178,48.368,51.498,58.246,36.525,51.540,33.903,58.471,62.355,34.374,48.949,52.070,40.155,49.145,45.240,36.840,53.673,43.966,79.184,71.645,51.059,40.314,34.736,39.694,43.122,51.266,39.513,56.829,45.468,38.333,55.142,42.073,39.605,46.771,49.397,42.155,56.247,51.123,50.529,47.610,68.329,67.019,102.819,39.486,43.583,72.917,53.164,52.944,71.533,66.667,45.426,63.711,54.967,46.798,69.332,38.846,65.096,57.028,51.820,46.825,74.948,58.665,39.700,72.084,59.804,57.527,54.389,42.904,38.153,84.559,78.436,59.354,54.490,65.694,47.002,38.020,55.661,76.455,40.492,75.794,76.439,87.244,47.790,92.194,45.321,80.613,65.879,93.256,67.981,45.132,56.856,61.718,73.805,50.603,61.860,49.464,94.667,48.286,54.350,45.597,86.046,43.232,71.681,57.043,66.585,70.512,81.782,88.333,56.082,56.209,42.412,53.742,49.335,64.483,50.556,38.896,82.693,68.671,76.596,58.299,55.520,71.204,66.543,42.364,97.246,65.950,45.916,43.030,77.822,49.846,45.736,44.066,48.173,76.942,58.029,73.775,86.965,44.159,43.331,44.149,36.931,50.557,38.391,64.254,50.095,52.467,41.025,66.385,74.592,48.179,51.388,98.211,69.228,64.773,78.781,89.113,43.503,37.908,64.591,54.646,37.542,56.014,98.826,68.854,41.228,50.428,54.995,68.740,59.585,72.696,41.687,66.202,54.813,49.361,75.580,45.632,45.823,50.623,56.173,50.985,52.951,50.330,46.706,54.255,53.801,80.228,43.472,59.041,42.822,44.718,43.599,42.278,42.920,37.506,40.620,45.416,85.232,65.051,59.062,76.108,70.160,49.509,48.000,72.685,43.313,36.287,141.043,68.946,64.027,84.847,34.709,69.069,103.695,37.139,51.526,59.158,37.865,65.975,41.737,36.810,37.243,38.632,66.239,77.104,48.946,36.772,39.994,58.298,109.723,69.791,53.167,48.856,43.534,43.803,53.034,61.536,44.613,43.672,41.631,48.169,64.708,53.510,41.738,50.759,41.491,39.207,45.872,45.206,90.525,75.587,72.539,77.164,49.791,72.374,40.016,54.881,37.455,79.791,87.700,41.731,55.687,57.924,60.113,56.662,48.473,40.077,41.980,39.617,57.053,42.242,43.044,54.709,54.407,42.804,42.466,63.365,41.465,66.614,53.851,41.051,54.130,44.650,69.144,44.538,55.556,47.345,43.918,37.714,38.933,56.317,49.338,56.576,48.799,37.796,40.215
7,60.727,51.895,49.908,40.696,38.944,48.140,51.451,57.967,36.583,51.439,33.673,58.851,62.637,34.096,47.951,53.345,40.310,49.239,44.971,36.999,53.325,44.019,78.673,68.884,50.930,40.145,34.670,39.383,42.827,50.883,38.968,56.978,45.187,38.134,54.146,40.619,39.218,46.854,47.513,41.857,56.069,50.840,50.859,47.561,68.236,66.713,102.568,38.141,43.575,72.741,52.905,52.804,71.424,66.408,45.370,64.212,54.698,46.622,69.435,38.609,65.141,56.881,51.749,46.941,75.144,58.757,39.832,72.049,59.710,56.807,54.187,42.955,38.086,84.824,76.866,58.939,54.448,65.771,47.157,38.114,55.396,75.641,40.429,75.891,76.787,87.057,47.924,92.283,45.395,80.981,65.954,91.955,68.070,44.958,56.520,61.300,73.911,50.740,61.665,49.335,94.584,48.324,54.490,45.404,86.643,43.153,71.206,56.829,66.939,70.481,81.723,87.899,55.253,55.398,42.131,53.571,48.949,64.446,50.074,38.952,83.978,69.104,76.411,58.478,55.327,70.888,66.784,42.547,97.737,65.913,45.891,42.267,77.379,49.724,45.264,42.804,48.102,76.760,57.667,73.725,87.700,44.216,43.231,44.085,36.911,50.144,37.964,64.269,49.535,52.582,41.306,66.119,74.840,48.171,74.699,98.501,71.748,63.429,78.531,89.244,43.420,37.983,64.249,54.451,37.891,55.817,98.832,68.993,41.633,50.699,54.858,68.809,70.763,70.346,42.071,66.323,54.957,49.558,75.521,45.613,46.081,50.616,55.921,50.899,53.124,50.084,46.770,54.446,53.530,80.100,43.114,58.874,42.714,44.658,43.605,42.208,43.624,37.426,40.660,45.572,85.149,65.075,58.789,76.320,69.863,49.255,47.814,72.694,43.279,36.491,140.153,68.944,63.667,84.328,34.586,68.279,102.961,37.081,51.584,58.678,37.759,66.088,41.491,36.741,37.448,39.044,66.251,77.317,48.844,35.891,39.848,58.235,108.795,69.383,53.162,48.983,43.372,43.678,53.083,61.517,44.440,43.755,41.640,49.330,64.307,53.391,41.755,50.779,41.086,39.024,45.758,45.022,89.443,75.427,72.316,76.606,49.699,72.114,39.888,54.680,37.469,79.249,88.088,41.527,55.579,57.724,60.749,56.338,48.301,39.987,41.853,39.493,57.211,42.350,43.030,54.338,54.776,42.608,42.508,63.669,41.473,66.292,53.901,40.788,53.680,44.495,69.019,44.659,55.426,47.391,43.817,37.827,38.903,56.077,49.528,56.298,48.713,37.791,40.326
8,60.811,51.954,49.838,40.396,39.175,48.276,51.445,58.183,36.826,51.414,33.870,58.675,62.728,34.015,47.823,53.439,40.429,49.515,44.974,37.203,53.030,44.361,78.580,67.259,51.000,39.670,34.896,39.457,42.715,51.153,38.590,57.011,45.285,37.995,54.225,39.570,39.278,48.195,46.403,41.742,56.106,49.620,51.033,47.648,68.500,66.669,101.594,37.162,43.826,73.047,52.332,52.429,71.362,66.689,45.150,64.226,54.792,45.892,69.181,38.572,65.272,56.893,50.180,46.967,74.985,58.446,39.628,72.071,59.542,56.431,54.198,43.177,38.160,84.824,75.875,59.223,54.267,65.559,47.084,38.238,55.495,75.072,40.319,75.370,77.180,85.922,47.851,93.139,45.410,80.869,65.679,89.703,68.311,45.052,56.516,61.261,74.028,50.566,61.443,49.500,94.728,48.169,54.524,45.320,86.956,42.885,70.412,56.780,66.856,70.488,81.744,87.823,55.265,54.948,42.023,53.142,48.448,65.042,49.151,38.831,84.193,69.542,77.470,58.258,61.902,71.580,67.245,42.394,97.716,66.126,45.603,42.022,77.922,49.753,45.292,41.755,48.461,76.434,58.118,73.581,88.305,44.241,43.378,44.243,36.957,48.996,37.853,64.199,48.546,52.565,41.509,65.864,75.309,48.249,68.865,98.392,69.972,63.838,78.933,89.872,43.517,37.827,63.884,54.420,38.077,55.453,99.017,69.244,41.872,50.489,54.845,69.051,68.634,69.529,41.643,66.228,54.684,49.520,75.656,45.412,45.859,50.526,55.771,50.633,53.008,49.964,46.720,55.129,53.412,79.916,43.010,58.993,42.911,44.603,43.739,42.332,44.605,37.412,40.778,44.938,85.445,65.411,58.458,76.634,69.784,49.214,47.651,72.388,43.316,36.830,137.697,68.863,63.421,84.849,34.808,67.770,101.370,37.139,51.779,58.158,37.840,66.306,41.882,36.707,37.163,38.761,65.984,77.580,48.837,35.288,39.583,58.218,109.066,69.550,53.278,49.022,43.379,43.704,53.053,61.448,44.626,43.704,41.609,49.194,64.308,53.418,41.677,50.728,40.540,38.895,45.836,45.070,88.241,75.348,72.093,76.592,49.639,72.001,39.726,54.718,37.276,79.286,87.956,41.660,55.866,57.497,61.089,56.209,48.250,40.152,41.878,39.741,56.895,42.497,43.048,54.314,54.561,42.829,42.590,64.227,41.481,65.487,53.777,40.751,53.698,44.605,68.932,44.315,55.501,47.383,43.838,37.853,39.056,56.068,49.624,56.540,48.865,38.408,40.459
9,60.738,51.850,49.855,40.606,39.053,48.215,51.615,58.373,36.707,51.600,33.677,58.716,62.658,33.621,47.916,53.459,40.580,49.367,44.944,37.221,53.099,44.316,78.695,66.684,51.103,39.581,35.020,39.424,42.768,50.963,38.481,57.083,45.276,38.120,54.229,39.196,39.037,47.470,45.728,41.639,56.117,47.309,51.372,47.741,68.693,66.777,100.384,36.606,44.044,73.158,52.221,52.511,71.446,66.826,44.927,64.667,54.881,44.398,69.210,38.505,65.220,56.512,48.584,47.174,75.439,58.457,39.170,72.109,59.544,56.240,54.327,43.188,38.337,85.604,75.865,59.547,53.819,65.687,47.847,37.889,55.252,74.329,40.379,75.938,77.913,85.074,47.746,92.511,45.359,81.263,66.345,88.216,68.503,44.898,56.061,61.285,73.894,51.065,61.307,49.370,95.267,48.387,54.765,45.242,87.421,43.023,69.555,57.143,66.931,71.096,82.482,88.277,55.399,54.407,41.464,52.704,47.804,65.707,48.765,38.831,84.873,69.957,78.909,57.985,82.642,72.468,68.078,42.309,97.827,66.516,45.182,42.134,77.935,50.050,45.359,43.435,48.337,76.411,58.151,73.595,88.878,44.189,43.406,43.988,36.948,49.205,37.959,64.070,48.180,52.306,41.521,66.617,75.344,48.311,62.161,98.892,69.279,63.616,79.131,90.350,43.472,37.970,63.707,54.651,38.344,55.212,98.876,68.815,41.974,50.082,54.645,69.022,65.723,69.129,41.424,65.085,54.549,49.288,75.393,45.680,45.629,50.466,55.283,50.469,53.211,49.881,46.765,55.479,53.535,79.874,43.069,58.975,42.528,44.741,43.594,42.444,44.886,37.169,40.587,44.652,85.411,65.266,58.218,76.429,69.654,49.227,47.843,72.267,43.556,37.004,136.132,69.275,63.097,85.060,34.498,66.942,100.086,37.078,51.855,57.658,37.800,66.079,42.127,36.687,37.395,38.735,66.350,78.621,48.696,34.842,39.480,58.448,109.062,69.475,53.365,49.466,43.189,43.713,53.142,61.326,45.084,43.653,40.968,48.847,64.534,53.581,41.769,50.944,40.194,38.948,45.911,45.131,87.433,76.051,70.743,76.928,49.617,71.818,39.818,54.514,37.252,79.581,88.461,41.516,56.014,57.340,61.305,55.617,48.091,40.096,41.907,39.895,56.764,42.502,43.152,54.399,54.093,42.737,42.829,64.555,41.461,65.685,53.714,40.631,53.785,45.042,70.051,43.710,55.464,47.358,43.811,37.736,39.154,56.264,49.446,56.613,48.924,38.771,40.515
10,60.624,51.746,49.861,40.619,39.471,48.044,51.708,58.376,36.223,51.686,33.758,58.909,62.930,33.341,48.236,53.717,40.863,49.260,44.952,37.179,53.104,44.371,79.170,66.176,51.068,39.726,34.976,39.857,42.706,50.719,37.968,57.348,45.336,37.881,53.862,39.232,39.255,46.914,45.869,41.472,55.994,46.554,51.056,47.693,68.570,66.630,99.122,35.980,44.018,73.376,52.389,52.609,71.602,66.408,44.790,65.528,54.886,42.805,68.646,38.502,64.975,56.336,46.195,47.423,75.483,58.336,38.528,73.327,59.691,55.875,54.180,42.929,38.379,85.547,76.428,59.560,53.914,65.752,47.588,38.470,55.695,74.082,40.286,76.140,78.028,84.675,47.653,92.207,45.649,81.380,66.420,87.095,68.144,44.857,56.057,61.383,73.716,51.480,61.422,49.343,95.476,48.326,55.528,45.053,87.619,42.916,69.482,56.905,67.062,70.963,82.031,87.864,55.129,54.297,41.411,52.943,47.684,66.449,48.044,38.745,86.053,69.943,78.946,57.975,72.535,72.565,68.859,42.073,97.761,66.800,44.910,41.599,77.748,50.664,45.563,43.498,48.407,76.031,58.225,73.546,89.170,44.225,43.285,44.069,37.009,48.801,37.844,64.014,48.522,52.149,41.527,66.810,75.592,48.251,57.580,99.313,68.610,63.409,79.250,90.717,43.395,37.868,63.418,54.978,37.963,55.715,98.390,68.653,41.265,51.202,54.436,69.060,62.936,68.481,41.335,64.671,54.631,48.974,75.162,45.333,45.148,50.655,54.834,50.021,53.193,49.758,46.683,55.333,53.319,79.982,42.993,58.934,41.778,44.799,43.929,42.629,44.945,36.783,40.544,45.070,85.137,64.988,58.018,75.959,69.964,49.105,47.703,72.108,43.409,37.146,133.586,68.889,63.147,84.730,34.738,66.113,97.911,37.005,53.021,57.556,37.790,65.843,42.107,36.735,37.105,38.485,66.759,78.758,48.574,34.365,39.741,58.063,107.654,69.873,53.473,49.593,43.196,43.905,53.183,61.282,45.941,43.542,40.175,46.705,64.795,53.810,41.826,50.774,40.258,38.753,45.864,45.245,87.003,75.595,69.739,76.766,49.792,72.026,39.686,54.446,37.258,79.385,87.697,41.288,56.071,57.061,61.615,55.386,48.255,40.054,42.051,39.716,56.609,42.728,43.091,54.804,53.735,42.899,42.756,64.677,41.510,76.298,53.735,40.502,53.560,45.105,70.355,43.549,55.330,47.525,43.991,37.766,39.035,56.007,49.519,56.457,48.895,38.478,40.222
